year,ggm_m,ggm_m_stderr,ggm_fit_age_start,ggm_fit_age_end,ci_method,ggm_m_ci_low,ggm_m_ci_high
1916,0.005583659002013946,9.024557984672935e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005409553121335287,0.0057633684615847934
1917,0.005399495777111017,7.525067987589289e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005254003283438211,0.005549017211112401
1918,0.01285370997632473,0.00037882217080576294,20,100,lognormal delta-method from GGM curve_fit covariance,0.012132269293695343,0.013618050849013633
1919,0.006696836126597679,8.182574636120688e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.006538365705362263,0.006859147396684044
1920,0.005529003853177944,7.254136764995823e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.005388637877240774,0.00567302615333835
1921,0.004619384830892671,6.637518872650404e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0044911066408254005,0.004751326994087935
1922,0.004378226968836117,6.159553149669316e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.00425915118508288,0.004500631829595616
1923,0.003818597160748683,5.52620724227151e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003711807158193984,0.003928459549383692
1924,0.004041938013762885,5.791772117189411e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003930000588595753,0.0041570637303489566
1925,0.00403396177363558,7.009665693904299e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.003898888047776733,0.004173715016113991
1926,0.0038800823999951585,5.99494315504377e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0037643449296400028,0.003999378301443793
1927,0.004144682863768578,6.124153409372106e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.004026373073996791,0.004266469034416802
1928,0.00376930980417983,5.163495077681231e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0036694536832798867,0.003871883290045195
1929,0.0039448274185870215,5.6053179116076145e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0038364809171745015,0.004056233746080204
1930,0.003614251850642922,4.7321885537809594e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0035226826126260853,0.003708201355709913
1931,0.003680117067587721,5.553123520760819e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0035728715530769064,0.003790581729557892
1932,0.003354616444152247,5.192604667137422e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0032543715782934897,0.0034579491667259743
1933,0.0029645330993781204,5.1775472599478884e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0028647722214239705,0.0030677679822446874
1934,0.0029128519090566556,5.025944480114219e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002815992236491071,0.003013043194560635
1935,0.002864420641954688,5.2110155235854974e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002764086014361027,0.0029683973550124246
1936,0.0027963407768239936,5.441878774754815e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.002691690402759621,0.002905059858337256
1937,0.0027346776096844445,5.235057875708133e-05,20,100,lognormal delta-method from GGM curve_fit covariance,0.0026339733882387558,0.002839232037158131
