fit_name,fit_params,contains_senogenic,age,survival
eta+epsilon,eta+epsilon,True,10.5,0.8196
eta+epsilon,eta+epsilon,True,10.75,0.8058
eta+epsilon,eta+epsilon,True,11.0,0.7954
eta+epsilon,eta+epsilon,True,11.25,0.779
eta+epsilon,eta+epsilon,True,11.5,0.7638
eta+epsilon,eta+epsilon,True,11.75,0.7514
eta+epsilon,eta+epsilon,True,12.0,0.7348
eta+epsilon,eta+epsilon,True,12.25,0.7186
eta+epsilon,eta+epsilon,True,12.5,0.7012
eta+epsilon,eta+epsilon,True,12.75,0.6822
eta+epsilon,eta+epsilon,True,13.0,0.662
eta+epsilon,eta+epsilon,True,13.25,0.6458
eta+epsilon,eta+epsilon,True,13.5,0.6278
eta+epsilon,eta+epsilon,True,13.75,0.6106
eta+epsilon,eta+epsilon,True,14.0,0.5876
eta+epsilon,eta+epsilon,True,14.25,0.5658
eta+epsilon,eta+epsilon,True,14.5,0.5454
eta+epsilon,eta+epsilon,True,14.75,0.5198
eta+epsilon,eta+epsilon,True,15.0,0.4994
eta+epsilon,eta+epsilon,True,15.25,0.4788
eta+epsilon,eta+epsilon,True,15.5,0.4552
eta+epsilon,eta+epsilon,True,15.75,0.4308
eta+epsilon,eta+epsilon,True,16.0,0.4082
eta+epsilon,eta+epsilon,True,16.25,0.383
eta+epsilon,eta+epsilon,True,16.5,0.3572
eta+epsilon,eta+epsilon,True,16.75,0.3346
eta+epsilon,eta+epsilon,True,17.0,0.3154
eta+epsilon,eta+epsilon,True,17.25,0.2948
eta+epsilon,eta+epsilon,True,17.5,0.2756
eta+epsilon,eta+epsilon,True,17.75,0.2514
eta+epsilon,eta+epsilon,True,18.0,0.2322
eta+epsilon,eta+epsilon,True,18.25,0.2122
eta+epsilon,eta+epsilon,True,18.5,0.1916
eta+epsilon,eta+epsilon,True,18.75,0.171
eta+epsilon,eta+epsilon,True,19.0,0.154
eta+epsilon,eta+epsilon,True,19.25,0.1398
eta+epsilon,eta+epsilon,True,19.5,0.122
eta+epsilon,eta+epsilon,True,19.75,0.107
eta+epsilon,eta+epsilon,True,20.0,0.0932
eta+epsilon,eta+epsilon,True,20.25,0.0814
eta+epsilon,eta+epsilon,True,20.5,0.0748
eta+epsilon,eta+epsilon,True,20.75,0.064
eta+epsilon,eta+epsilon,True,21.0,0.0544
