topic,group,label,x,y,x_err,y_err,n,deaths,curve_set,coordinate,coordinate_class,distance,distance_sq,factor,projected_log_median,projected_log_steepness
sleep_duration,7-<9 hours,7-9 h sleep,1.0233502538071066,1.1442717104369384,0.002106592868928802,0.04191548314543049,22189,2178.0,mean_model_curve,beta,senogenic,0.08806024211233682,0.007754606240883378,1.074749899959984,0.07986715325230465,0.06746287080598094
sleep_duration,7-<9 hours,7-9 h sleep,1.0233502538071066,1.1442717104369384,0.002106592868928802,0.04191548314543049,22189,2178.0,mean_model_curve,Xc,robustness,0.020365702552966995,0.0004147618404759264,1.104201680672269,0.042482072998722586,0.12857228338088758
sleep_duration,7-<9 hours,7-9 h sleep,1.0233502538071066,1.1442717104369384,0.002106592868928802,0.04191548314543049,22189,2178.0,mean_model_curve,epsilon,robustness,0.010399926769498075,0.00010815847681092266,0.8868347338935574,0.03318278965479941,0.13229276577375124
sleep_duration,7-<9 hours,7-9 h sleep,1.0233502538071066,1.1442717104369384,0.002106592868928802,0.04191548314543049,22189,2178.0,mean_model_curve,h_ext,extrinsic,0.14539291495514872,0.021139099719155112,0.0001,-0.0011665781836224676,-0.00858822873347331
sleep_duration,>=9 hours,>=9 h sleep,0.950253807106599,0.724457738750659,0.010849481671698096,0.05344716048311557,5389,781.0,mean_model_curve,eta,senogenic,0.3235771886775986,0.10470219703249824,1.0243697478991596,-0.0219671164542917,-6.213624091542555e-05
sleep_duration,>=9 hours,>=9 h sleep,0.950253807106599,0.724457738750659,0.010849481671698096,0.05344716048311557,5389,781.0,mean_model_curve,beta,senogenic,0.21233508694049857,0.04508618914602908,0.8468187274909964,-0.18623482168213104,-0.15861011030690567
sleep_duration,>=9 hours,>=9 h sleep,0.950253807106599,0.724457738750659,0.010849481671698096,0.05344716048311557,5389,781.0,mean_model_curve,Xc,robustness,0.06932057810866774,0.0048053425493199044,0.814485794317727,-0.11428491361667499,-0.29398271942992543
sleep_duration,>=9 hours,>=9 h sleep,0.950253807106599,0.724457738750659,0.010849481671698096,0.05344716048311557,5389,781.0,mean_model_curve,epsilon,robustness,0.04815963927616598,0.002319350855210429,1.2933973589435772,-0.09625277852083697,-0.30578179744795575
sleep_duration,>=9 hours,>=9 h sleep,0.950253807106599,0.724457738750659,0.010849481671698096,0.05344716048311557,5389,781.0,mean_model_curve,h_ext,extrinsic,0.014473417875402213,0.00020947982499601233,0.003043882930764454,-0.03666810280906329,-0.32415555113303973
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9868020304568529,0.7881463311682995,0.00951424503382876,0.04719588998782171,2945,532.0,mean_model_curve,eta,senogenic,0.2363424481423088,0.05585775279389992,0.9927170868347338,0.006471754254375224,-0.0025563473297190694
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9868020304568529,0.7881463311682995,0.00951424503382876,0.04719588998782171,2945,532.0,mean_model_curve,beta,senogenic,0.1719391299354097,0.0295630644029457,0.8948379351740696,-0.12423272450860542,-0.10671758618221569
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9868020304568529,0.7881463311682995,0.00951424503382876,0.04719588998782171,2945,532.0,mean_model_curve,Xc,robustness,0.07095814822718034,0.005035058799830497,0.8615446178471389,-0.07902979712799253,-0.21137337086097654
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9868020304568529,0.7881463311682995,0.00951424503382876,0.04719588998782171,2945,532.0,mean_model_curve,epsilon,robustness,0.05573389029027943,0.003106266526888903,1.2047218887555022,-0.06609966358365311,-0.22026796181505293
sleep_frailty,Q4 (highest),Q4 sleep frailty,0.9868020304568529,0.7881463311682995,0.00951424503382876,0.04719588998782171,2945,532.0,mean_model_curve,h_ext,extrinsic,0.013335332967436983,0.00017783110535241165,0.0022630934675568946,-0.026544054644426905,-0.23663945851928378
sleep_frailty,Q1 (lowest),Q1 sleep frailty,1.0111675126903554,1.0599838389092175,0.0056410169678571655,0.06958924467135963,2951,614.0,mean_model_curve,eta,senogenic,0.060984229179559014,0.0037190762086249775,0.9932773109243697,0.005960163276241348,-0.0025131098217056388
sleep_frailty,Q1 (lowest),Q1 sleep frailty,1.0111675126903554,1.0599838389092175,0.0056410169678571655,0.06958924467135963,2951,614.0,mean_model_curve,beta,senogenic,0.037031736272500906,0.0013713494913560596,1.032172869147659,0.03495565521925867,0.02992478702208925
sleep_frailty,Q1 (lowest),Q1 sleep frailty,1.0111675126903554,1.0599838389092175,0.0056410169678571655,0.06958924467135963,2951,614.0,mean_model_curve,Xc,robustness,0.007977824835881385,6.364568911200584e-05,1.042737094837935,0.01868438847764969,0.0557620953015009
