curve_set,topic,group,label,n_bootstrap_usable,central_best_coordinate,central_best_coordinate_class,p_eta,p_beta,p_Xc,p_epsilon,p_h_ext,p_senogenic,p_robustness,p_extrinsic,central_distance_eta,central_distance_beta,central_distance_Xc,central_distance_epsilon,central_distance_h_ext,central_best_distance,central_second_distance,central_distance_margin
mean_model_curve,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.16,0.6433333333333333,0.17333333333333334,0.0,0.18333333333333332,0.8166666666666667,0.0,0.12206392157327581,0.05696288185827609,0.010399398299656191,0.019556498935514068,0.13486670678626925,0.010399398299656191,0.019556498935514068,0.009157100635857876
Xc_high,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.19666666666666666,0.7533333333333333,0.02666666666666667,0.0,0.22,0.78,0.0,0.11909865262693545,0.05132937884243311,0.017104492361580605,0.027338349536089046,0.13853092273452614,0.017104492361580605,0.027338349536089046,0.010233857174508441
Xc_low,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.02,0.11666666666666667,0.4266666666666667,0.43666666666666665,0.0,0.13666666666666666,0.8633333333333333,0.0,0.1247121669768729,0.06464128787845218,0.002309923156734866,0.009238463798098867,0.13533924235868552,0.002309923156734866,0.009238463798098867,0.0069285406413640005
beta_high,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.20666666666666667,0.73,0.04,0.0,0.23,0.77,0.0,0.11485506492607697,0.051370037349821394,0.017924009147132637,0.02550766375362094,0.13466770424565935,0.017924009147132637,0.02550766375362094,0.007583654606488303
beta_low,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.02,0.13,0.52,0.33,0.0,0.15,0.85,0.0,0.12460068288107078,0.05866468705678748,0.004094198702538317,0.014693719998555784,0.12730647103506534,0.004094198702538317,0.014693719998555784,0.010599521296017468
central,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.15666666666666668,0.6566666666666666,0.16333333333333333,0.0,0.18,0.82,0.0,0.12251154254199606,0.05600916541053883,0.010305729229123045,0.02035375027016227,0.1389924041492022,0.010305729229123045,0.02035375027016227,0.010048021041039227
epsilon_high,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.02,0.12666666666666668,0.5,0.35333333333333333,0.0,0.14666666666666667,0.8533333333333334,0.0,0.13516424682922595,0.060818063208088156,0.003426219519067897,0.012937897248618678,0.13578558110167058,0.003426219519067897,0.012937897248618678,0.00951167772955078
epsilon_low,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.16333333333333333,0.7833333333333333,0.03,0.0,0.18666666666666668,0.8133333333333334,0.0,0.12071282113104968,0.05686910871990597,0.01591896704642,0.026751501715034175,0.13671687032410698,0.01591896704642,0.026751501715034175,0.010832534668614176
eta_high,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.17666666666666667,0.7233333333333334,0.07666666666666666,0.0,0.2,0.8,0.0,0.11396666806059995,0.054148170314465574,0.014266380115255441,0.02285224966841356,0.12251633683762893,0.014266380115255441,0.02285224966841356,0.008585869553158118
eta_low,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.15666666666666668,0.6566666666666666,0.16333333333333333,0.0,0.18,0.82,0.0,0.12212172404921175,0.0572407756784821,0.011945057548799747,0.019929435652813084,0.1439399102292473,0.011945057548799747,0.019929435652813084,0.007984378104013336
xc_std_frac_high,physical_activity,Some Activity,Some Activity,300,Xc,robustness,0.023333333333333334,0.15666666666666668,0.66,0.16,0.0,0.18,0.82,0.0,0.12505594213867102,0.06016682222637645,0.011442095926385492,0.0195721648574181,0.13610713721698284,0.011442095926385492,0.0195721648574181,0.00813006893103261
