parameter,parameter_label,allowed_slope_distortion_fraction,allowed_parameter_cv,tau_ref,scale
beta,$\beta$,0.11823293172690763,0.028469145754298274,98.61640439041227,9.861640439041228
beta,$\beta$,0.12020080321285141,0.028705088586764103,98.61640439041227,9.861640439041228
beta,$\beta$,0.12216867469879518,0.028939107822606936,98.61640439041227,9.861640439041228
beta,$\beta$,0.12413654618473896,0.029171249756617657,98.61640439041227,9.861640439041228
beta,$\beta$,0.12610441767068273,0.02940155885590866,98.61640439041227,9.861640439041228
beta,$\beta$,0.12807228915662652,0.029630077859363727,98.61640439041227,9.861640439041228
beta,$\beta$,0.1300401606425703,0.0298568478702366,98.61640439041227,9.861640439041228
beta,$\beta$,0.13200803212851406,0.03008190844246667,98.61640439041227,9.861640439041228
beta,$\beta$,0.13397590361445783,0.03030529766122489,98.61640439041227,9.861640439041228
beta,$\beta$,0.13594377510040162,0.030527052218154608,98.61640439041227,9.861640439041228
beta,$\beta$,0.1379116465863454,0.030747207481728045,98.61640439041227,9.861640439041228
beta,$\beta$,0.13987951807228918,0.030965797563100632,98.61640439041227,9.861640439041228
beta,$\beta$,0.14184738955823295,0.031182855377810164,98.61640439041227,9.861640439041228
beta,$\beta$,0.14381526104417672,0.0313984127036371,98.61640439041227,9.861640439041228
beta,$\beta$,0.14578313253012049,0.03161250023491364,98.61640439041227,9.861640439041228
beta,$\beta$,0.14775100401606428,0.03182514763354462,98.61640439041227,9.861640439041228
beta,$\beta$,0.14971887550200805,0.03203638357698019,98.61640439041227,9.861640439041228
beta,$\beta$,0.15168674698795181,0.03224623580336007,98.61640439041227,9.861640439041228
beta,$\beta$,0.1536546184738956,0.03245473115403048,98.61640439041227,9.861640439041228
beta,$\beta$,0.15562248995983938,0.0326618956136182,98.61640439041227,9.861640439041228
beta,$\beta$,0.15759036144578314,0.03286775434783137,98.61640439041227,9.861640439041228
beta,$\beta$,0.1595582329317269,0.033072331739142355,98.61640439041227,9.861640439041228
beta,$\beta$,0.1615261044176707,0.033275651420496315,98.61640439041227,9.861640439041228
beta,$\beta$,0.16349397590361447,0.03347773630717695,98.61640439041227,9.861640439041228
beta,$\beta$,0.16546184738955824,0.033678608626951455,98.61640439041227,9.861640439041228
beta,$\beta$,0.167429718875502,0.033878289948606685,98.61640439041227,9.861640439041228
beta,$\beta$,0.1693975903614458,0.03407680120898028,98.61640439041227,9.861640439041228
beta,$\beta$,0.17136546184738957,0.03427416273858277,98.61640439041227,9.861640439041228
beta,$\beta$,0.17333333333333334,0.03447039428589918,98.61640439041227,9.861640439041228
beta,$\beta$,0.17530120481927713,0.03466551504045261,98.61640439041227,9.861640439041228
beta,$\beta$,0.1772690763052209,0.03485954365470583,98.61640439041227,9.861640439041228
beta,$\beta$,0.17923694779116467,0.035052498264871744,98.61640439041227,9.861640439041228
beta,$\beta$,0.18120481927710844,0.03524439651069844,98.61640439041227,9.861640439041228
beta,$\beta$,0.18317269076305223,0.03543525555428983,98.61640439041227,9.861640439041228
beta,$\beta$,0.185140562248996,0.035625092098018826,98.61640439041227,9.861640439041228
beta,$\beta$,0.18710843373493977,0.03581392240158593,98.61640439041227,9.861640439041228
beta,$\beta$,0.18907630522088356,0.03600176229827248,98.61640439041227,9.861640439041228
beta,$\beta$,0.19104417670682733,0.03618862721043463,98.61640439041227,9.861640439041228
beta,$\beta$,0.1930120481927711,0.03637453216428089,98.61640439041227,9.861640439041228
