scenario,target_year,source_year,variant,xc_factor,h_ext,n,from_age,random_seed,age,survival
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,17,0.994025
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,18,0.993648
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,19,0.993298
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,20,0.992921
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,21,0.99256
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,22,0.992186
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,23,0.991803
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,24,0.991403
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,25,0.991021
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,26,0.990628
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,27,0.990227
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,28,0.989891
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,29,0.989486
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,30,0.989073
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,31,0.988658
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,32,0.988259
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,33,0.987834
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,34,0.987433
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,35,0.986968
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,36,0.986543
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,37,0.986067
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,38,0.985587
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,39,0.98512
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,40,0.984562
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,41,0.983972
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,42,0.983342
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,43,0.982726
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,44,0.982048
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,45,0.981263
exponential,2020,2019,high,1.0051219937932478,0.0003533998854922,1000000,0,1694906681,46,0.980488
