scenario,year,age,survival,survival low,survival high
exponential,2040,51,0.979877,0.978179,0.980653
exponential,2040,52,0.979047,0.977256,0.979804
exponential,2040,53,0.978046,0.976203,0.978877
exponential,2040,54,0.976918,0.97506,0.977903
exponential,2040,55,0.975662,0.973677,0.976759
exponential,2040,56,0.974368,0.972186,0.975499
exponential,2040,57,0.972859,0.970494,0.974025
exponential,2040,58,0.97125,0.968544,0.972376
exponential,2040,59,0.969388,0.966345,0.970526
exponential,2040,60,0.967197,0.963841,0.968353
exponential,2040,61,0.964816,0.961066,0.96595
exponential,2040,62,0.962137,0.957994,0.963282
exponential,2040,63,0.958974,0.954301,0.960124
exponential,2040,64,0.955316,0.950186,0.956498
exponential,2040,65,0.951206,0.945485,0.952288
exponential,2040,66,0.946394,0.940152,0.947479
exponential,2040,67,0.941033,0.933984,0.941965
exponential,2040,68,0.934745,0.92706,0.935695
exponential,2040,69,0.927536,0.919118,0.928696
exponential,2040,70,0.919436,0.910121,0.920653
exponential,2040,71,0.909963,0.899937,0.911528
exponential,2040,72,0.899515,0.88854,0.900983
exponential,2040,73,0.8877,0.875384,0.88907
exponential,2040,74,0.874191,0.860791,0.875628
exponential,2040,75,0.858791,0.844254,0.860358
exponential,2040,76,0.841917,0.825873,0.84323
exponential,2040,77,0.822633,0.805462,0.824116
exponential,2040,78,0.801081,0.782631,0.802931
exponential,2040,79,0.777088,0.757675,0.779274
exponential,2040,80,0.751164,0.730014,0.752919
exponential,2040,81,0.722614,0.700081,0.724175
exponential,2040,82,0.691386,0.667544,0.692731
exponential,2040,83,0.65764,0.632859,0.65874
exponential,2040,84,0.621692,0.59546,0.622623
exponential,2040,85,0.583386,0.556359,0.584017
exponential,2040,86,0.542685,0.514988,0.542881
exponential,2040,87,0.500735,0.472987,0.500735
exponential,2040,88,0.456876,0.429408,0.456876
exponential,2040,89,0.412956,0.38519,0.412956
exponential,2040,90,0.368126,0.341767,0.368126
exponential,2040,91,0.324141,0.29914,0.324141
exponential,2040,92,0.281034,0.257995,0.281034
exponential,2040,93,0.24023,0.218656,0.24023
exponential,2040,94,0.201704,0.182161,0.201704
exponential,2040,95,0.166233,0.149056,0.166233
exponential,2040,96,0.13399,0.119282,0.134124
exponential,2040,97,0.106007,0.093462,0.106007
exponential,2040,98,0.081985,0.071381,0.081985
exponential,2040,99,0.061648,0.053045,0.061648
exponential,2040,100,0.045108,0.038448,0.045108
exponential,2040,101,0.032151,0.02715,0.032151
exponential,2040,102,0.02216,0.018673,0.022195
exponential,2040,103,0.014816,0.012312,0.014816
exponential,2040,104,0.009478,0.007799,0.009589
exponential,2040,105,0.005786,0.004878,0.005864
exponential,2040,106,0.003465,0.002851,0.003465
exponential,2040,107,0.001976,0.001561,0.001976
exponential,2040,108,0.001064,0.000836,0.001088
exponential,2040,109,0.000531,0.000426,0.000569
exponential,2040,110,0.000254,0.000198,0.000262
exponential,2040,111,0.000124,8.6e-05,0.000124
exponential,2040,112,5.6e-05,3.3e-05,5.6e-05
exponential,2040,113,3e-05,1.1e-05,3e-05
exponential,2040,114,1.3e-05,4e-06,1.3e-05
exponential,2040,115,6e-06,1e-06,6e-06
exponential,2040,116,3e-06,0.0,3e-06
exponential,2040,117,2e-06,0.0,2e-06
exponential,2040,118,2e-06,0.0,2e-06
exponential,2040,119,0.0,0.0,0.0
exponential,2040,120,0.0,0.0,0.0
exponential,2050,0,1.0,1.0,1.0
exponential,2050,1,0.999673,0.999671,0.999692
exponential,2050,2,0.999373,0.999341,0.999444
exponential,2050,3,0.999068,0.998987,0.99916
exponential,2050,4,0.998766,0.998672,0.998857
exponential,2050,5,0.998447,0.998367,0.998568
exponential,2050,6,0.998154,0.998038,0.998288
exponential,2050,7,0.997828,0.997694,0.997995
exponential,2050,8,0.997526,0.997351,0.997734
exponential,2050,9,0.997223,0.997014,0.99742
exponential,2050,10,0.996874,0.996691,0.99714
exponential,2050,11,0.996588,0.99636,0.996846
exponential,2050,12,0.996296,0.996026,0.996546
exponential,2050,13,0.996004,0.995661,0.996245
exponential,2050,14,0.995673,0.995335,0.995958
exponential,2050,15,0.995346,0.994985,0.995668
exponential,2050,16,0.994998,0.994666,0.995393
exponential,2050,17,0.994663,0.994336,0.995092
exponential,2050,18,0.994364,0.99401,0.994788
exponential,2050,19,0.994032,0.993688,0.994491
exponential,2050,20,0.99375,0.993364,0.994187
exponential,2050,21,0.993422,0.993046,0.993887
exponential,2050,22,0.993112,0.992705,0.993626
exponential,2050,23,0.992791,0.992343,0.993317
exponential,2050,24,0.99248,0.992008,0.993054
exponential,2050,25,0.992187,0.991659,0.992757
exponential,2050,26,0.991876,0.991301,0.992491
exponential,2050,27,0.991555,0.990953,0.992176
exponential,2050,28,0.991208,0.990604,0.991852
exponential,2050,29,0.990897,0.990249,0.991547
exponential,2050,30,0.990584,0.989893,0.991229
exponential,2050,31,0.990241,0.989544,0.990926
exponential,2050,32,0.989942,0.989168,0.99063
exponential,2050,33,0.989589,0.988835,0.990304
exponential,2050,34,0.989253,0.988476,0.989973
exponential,2050,35,0.988916,0.988105,0.989653
exponential,2050,36,0.988558,0.987752,0.989342
exponential,2050,37,0.988232,0.987344,0.989025
exponential,2050,38,0.98792,0.986969,0.988685
exponential,2050,39,0.987573,0.986603,0.988381
exponential,2050,40,0.987204,0.9862,0.988064
exponential,2050,41,0.986835,0.985773,0.987721
exponential,2050,42,0.986452,0.98533,0.987356
exponential,2050,43,0.986061,0.98491,0.986962
exponential,2050,44,0.985645,0.984464,0.986548
exponential,2050,45,0.985201,0.983938,0.98613
exponential,2050,46,0.984731,0.983388,0.985706
exponential,2050,47,0.984248,0.982855,0.985249
exponential,2050,48,0.983748,0.982315,0.984759
exponential,2050,49,0.983203,0.981693,0.984252
exponential,2050,50,0.982653,0.981002,0.983675
exponential,2050,51,0.982076,0.980278,0.983061
exponential,2050,52,0.981401,0.979503,0.982436
exponential,2050,53,0.980639,0.978637,0.981671
exponential,2050,54,0.979779,0.977657,0.980847
exponential,2050,55,0.978905,0.976613,0.979939
exponential,2050,56,0.977904,0.97543,0.978957
exponential,2050,57,0.97668,0.974204,0.977839
exponential,2050,58,0.975478,0.972736,0.97659
exponential,2050,59,0.974098,0.971059,0.975079
exponential,2050,60,0.972492,0.969199,0.973484
exponential,2050,61,0.970617,0.967101,0.971618
exponential,2050,62,0.968517,0.964648,0.969499
exponential,2050,63,0.966037,0.961787,0.967177
exponential,2050,64,0.963325,0.958564,0.964372
exponential,2050,65,0.960121,0.954823,0.961319
exponential,2050,66,0.956452,0.950694,0.957733
exponential,2050,67,0.952241,0.945886,0.953444
exponential,2050,68,0.947396,0.940306,0.94856
exponential,2050,69,0.94181,0.933947,0.942956
exponential,2050,70,0.935382,0.9267,0.93658
exponential,2050,71,0.927978,0.918336,0.92923
exponential,2050,72,0.919653,0.908824,0.920885
