year,Median,Top 10%,Top 1%,Top 0.01%,Median smoothed,Top 10% smoothed,Top 1% smoothed,Top 0.01% smoothed
1961,77.60920460572459,88.9519363540614,96.25901991499099,104.71582644457533,77.49856734873462,88.81718437798516,95.92760061180482,104.26618373879182
1962,77.42449867794595,88.65805452473737,95.780587437977,104.1535648949264,77.527639001849,88.88982151043918,96.02644769846766,104.42169917512913
1963,77.65787016218853,88.99653246259024,95.87873104016862,104.19995933428838,77.64938634036608,89.0154939026734,96.18423872152228,104.59122203797733
1964,77.74773782230827,89.29458272601046,96.56811287608554,105.15223815375936,77.7227456548367,89.10586572501128,96.26385224296146,104.65442827411944
1965,77.80762043366302,89.17636344596751,96.43474233838923,104.73452136233723,77.82784401719277,89.27229599975618,96.44151697296375,104.82962407066
1966,77.97600117807777,89.40379546575085,96.65708752218688,105.03185762528582,77.87429153407723,89.32639319666991,96.58361820909005,104.99589165769427
1967,77.94999048972632,89.49020589846187,96.66891108798853,105.02954387762922,77.89375974558367,89.36289361247381,96.62413829214549,105.02395379352114
1968,77.89010774661078,89.26701844715888,96.58923722080003,105.03129726945976,78.02254029678231,89.57492658023385,96.87149253143102,105.33555928763244
1969,77.84507887984043,89.47708480503002,96.77071329136281,105.29254883289367,78.09491640613423,89.73095679894273,97.0799310682453,105.62037439199699
1970,78.45152318965627,90.23652828476762,97.67151353481678,106.29254883289367,78.17325102296574,89.89581581911011,97.26176998012276,105.81998296105363
1971,78.33788172483733,90.18394655929526,97.69928020625832,106.45593314710862,78.27735193376279,90.08008886075865,97.46292604485795,106.0187589149663
1972,78.34166357388392,90.3145009992988,97.5781056473759,106.02758672291236,78.40590286625488,90.26346099852155,97.66537256612455,106.2178444622054
1973,78.41061230059601,90.1883836554015,97.595017544476,106.02517703902316,78.41516132717592,90.28849802121348,97.67444245462148,106.21666884964688
1974,78.4878335423009,90.39394549384456,97.7829458976957,106.28797656908918,78.44197978855091,90.2919599969022,97.61312884506839,106.09724589739513
