delta,p,max_ratio_to_hmd_100_105_110,max_excess_over_hmd_100_105_110,passes_hmd_bound,pmax_mixture_vs_hmd,pmax_conservative_component_only
0.1,2.818382931264455e-06,0.48370960077480313,-0.0001472327186872487,True,0.013066982435708653,0.013994693244293121
0.1,3.162277660168379e-06,0.48371079445786713,-0.00014722884300445152,True,0.013066982435708653,0.013994693244293121
0.1,3.548133892335753e-06,0.4837121337922935,-0.0001472244944168301,True,0.013066982435708653,0.013994693244293121
0.1,3.981071705534969e-06,0.48371363655023636,-0.00014721961522126868,True,0.013066982435708653,0.013994693244293121
0.1,4.466835921509635e-06,0.4837153226723806,-0.00014721414067380662,True,0.013066982435708653,0.013994693244293121
0.1,5.011872336272725e-06,0.4837172145325426,-0.00014720799813052525,True,0.013066982435708653,0.013994693244293121
0.1,5.623413251903491e-06,0.48371933723455734,-0.00014720110608360722,True,0.013066982435708653,0.013994693244293121
0.1,6.30957344480193e-06,0.483721718945391,-0.00014719337307977725,True,0.013066982435708653,0.013994693244293121
0.1,7.079457843841373e-06,0.4837243912688991,-0.00014718469650677285,True,0.013066982435708653,0.013994693244293121
0.1,7.943282347242822e-06,0.48372738966519113,-0.0001471749612317418,True,0.013066982435708653,0.013994693244293121
0.1,8.91250938133746e-06,0.4837307539211639,-0.00014716403807349924,True,0.013066982435708653,0.013994693244293121
0.1,1e-05,0.4837345286784504,-0.00014715178208837186,True,0.013066982435708653,0.013994693244293121
0.1,1.122018454301963e-05,0.4837387640257865,-0.0001471380306468833,True,0.013066982435708653,0.013994693244293121
0.1,1.2589254117941661e-05,0.48374351616365785,-0.00014712260127575986,True,0.013066982435708653,0.013994693244293121
0.1,1.4125375446227555e-05,0.483748848150047,-0.00014710528923662109,True,0.013066982435708653,0.013994693244293121
0.1,1.584893192461114e-05,0.4837548307371736,-0.00014708586480922578,True,0.013066982435708653,0.013994693244293121
0.1,1.778279410038923e-05,0.4837615433103341,-0.00014706407024322402,True,0.013066982435708653,0.013994693244293121
0.1,1.9952623149688786e-05,0.4837690749412962,-0.00014703961633796652,True,0.013066982435708653,0.013994693244293121
0.1,2.238721138568338e-05,0.48377752557022646,-0.00014701217860498786,True,0.013066982435708653,0.013994693244293121
0.1,2.5118864315095822e-05,0.4837870073318369,-0.0001469813929622416,True,0.013066982435708653,0.013994693244293121
0.1,2.818382931264455e-05,0.48379764604334285,-0.00014694685090295277,True,0.013066982435708653,0.013994693244293121
0.1,3.1622776601683795e-05,0.48380958287398274,-0.00014690809407498108,True,0.013066982435708653,0.013994693244293121
0.1,3.5481338923357534e-05,0.4838229762182464,-0.00014686460819876663,True,0.013066982435708653,0.013994693244293121
0.1,3.9810717055349695e-05,0.4838380037976752,-0.00014681581624315253,True,0.013066982435708653,0.013994693244293121
0.1,4.466835921509635e-05,0.48385486501911773,-0.00014676107076853204,True,0.013066982435708653,0.013994693244293121
0.1,5.011872336272725e-05,0.4838737836207384,-0.00014669964533571832,True,0.013066982435708653,0.013994693244293121
0.1,5.623413251903491e-05,0.4838950106408863,-0.00014663072486653786,True,0.013066982435708653,0.013994693244293121
0.1,6.309573444801929e-05,0.483918827749222,-0.00014655339482823822,True,0.013066982435708653,0.013994693244293121
0.1,7.079457843841373e-05,0.483945550984303,-0.00014646662909819416,True,0.013066982435708653,0.013994693244293121
0.1,7.943282347242822e-05,0.4839755349472223,-0.0001463692763478837,True,0.013066982435708653,0.013994693244293121
0.1,8.912509381337459e-05,0.484009177506951,-0.00014626004476545835,True,0.013066982435708653,0.013994693244293121
0.1,0.0001,0.4840469250798165,-0.0001461374849141845,True,0.013066982435708653,0.013994693244293121
0.1,0.00011220184543019641,0.48408927855317657,-0.00014599997049929872,True,0.013066982435708653,0.013994693244293121
0.1,0.00012589254117941674,0.4841367999318905,-0.00014584567678806436,True,0.013066982435708653,0.013994693244293121
0.1,0.0001412537544622754,0.48419011979578147,-0.00014567255639667665,True,0.013066982435708653,0.013994693244293121
0.1,0.00015848931924611142,0.48424994566704793,-0.00014547831212272368,True,0.013066982435708653,0.013994693244293121
0.1,0.00017782794100389227,0.4843170713986536,-0.00014526036646270594,True,0.013066982435708653,0.013994693244293121
